case_id,dataset,evidence_class,classification,divergence_reason,held_out_outcome
ragbench_hotpotqa_natural_divergence,ragbench_hotpotqa,context_retrieval,GOVERNANCE_DIVERGENCE_INCONCLUSIVE,observed_cost_adjusted_retrieval_tradeoff,retrieval_smoke_only
ragbench_emanual_natural_divergence,ragbench_emanual,context_retrieval,GOVERNANCE_DIVERGENCE_INCONCLUSIVE,observed_cost_adjusted_retrieval_tradeoff,retrieval_smoke_only
ragbench_techqa_natural_divergence,ragbench_techqa,context_retrieval,GOVERNANCE_DIVERGENCE_INCONCLUSIVE,observed_cost_adjusted_retrieval_tradeoff,retrieval_smoke_only
crag_task_1_and_2_dev_v5_natural_divergence,crag_task_1_and_2_dev_v5,full_corpus_backed,GOVERNANCE_DIVERGENCE_INCONCLUSIVE,observed_cost_adjusted_retrieval_tradeoff,retrieval_smoke_only
crag_mock_api_validation_mock_api_validation_governance_superior,crag,full_corpus_backed_mock_api_source_validation,GOVERNANCE_BENEFICIAL_DIVERGENCE,frozen_budget_latency_adjusted_utility,governance_better
