path,rows_affected,fields_removed,fields_added
artifacts/selected_run_summaries/runs/ragtune_crag_mock_api_validation_v1_20260809-162440-92d8c0edd4/crag_mock_api_domain_task_sample.csv,200,query_text,query_text_redacted;query_text_hash;sanitized_query_summary
artifacts/selected_run_summaries/runs/ragtune_crag_mock_api_validation_v1_20260809-164913-92d8c0edd4/crag_mock_api_domain_task_sample.csv,678,query_text,query_text_redacted;query_text_hash;sanitized_query_summary
artifacts/selected_run_summaries/runs/ragtune_crag_mock_api_validation_v1_20260809-165415-92d8c0edd4/crag_mock_api_domain_task_sample.csv,1002,query_text,query_text_redacted;query_text_hash;sanitized_query_summary
artifacts/selected_run_summaries/runs/ragtune_crag_mock_api_case_explanation_pack_v1_20260809-174530-2c68f91651/crag_mock_api_case_packets.json,10,query_text,query_text_redacted;query_text_hash;sanitized_query_summary
artifacts/selected_run_summaries/runs/ragtune_crag_mock_api_case_explanation_pack_v1_20260809-174530-2c68f91651/crag_mock_api_case_packets.md,10,Markdown Query line raw text,redacted query text pointer
artifacts/selected_run_summaries/runs/ragtune_crag_mock_api_case_explanation_pack_v1_20260809-174530-2c68f91651/crag_mock_api_technical_case_pack.md,10,Markdown Query line raw text,redacted query text pointer
