evidence_item,result_class
guardrail_v2,CRAG_GEN_LLM_QUALITY_RISK_GUARDRAIL_V2_BLOCKED_HELDOUT_QUALITY_LOSS
public_mini,PUBLIC_MINI_REPRODUCTION_FAIL_CLOSED
hotpotqa_audit,HOTPOTQA_GEN_LLM_QUALITY_SIGNAL_CONFIRMED
crag_evaluator_mapping,CRAG_GENERATED_QUALITY_LOCAL_EVALUATOR_ACTIVE
external_evaluator_adapters,EXTERNAL_EVALUATOR_ADAPTER_PROMOTION_DECISION_GENERATED
selector_ablation,SELECTOR_ABLATION_GOVERNANCE_BLOCKS_UNSAFE_SELECTORS
hardware_characterization,AIM_HARDWARE_CHARACTERIZATION_COMPLETED
generative_synthesis,GEN_LLM_SYNTHESIS_MIXED
